ControlID,Domain,DomainCode,ControlTitle,ControlDescription,Question,RequiredEvidence,EvidenceItems,Status,Owner,Frequency,ScoreNumeric,Weight,Notes,SourceRef,Tags,UpdatedAt,DocControlId,ComplianceStatus,Criticality,Observations,Gaps,References,EvidenceCount,AvailableEvidenceCount,EvidenceArtifacts,EvidenceLastCollected,ExcelControlId,MCSBMapping,CISMapping,NISTMapping,PCIDSSMapping,CSACCMMapping,IANSMapping,RiskSeverity,ImplementationGap
SEC-ASSET-0001,Asset management,ASSET,Track asset inventory and their risks,"Track your asset inventory by query and discover all your cloud resources. Logically organize your assets by tagging and grouping your assets based on their service nature, location, or other characteristics. Ensure your security organization has access to a continuously updated inventory of assets.

Ensure your security organization can monitor the risks to cloud assets by always having security insights and risks aggregated centrally.

The Microsoft Defender for Cloud inventory feature and Azure Resource Graph can query for and discover all resources in your subscriptions, including Azure services, applications, and network resources. Logically organize assets according to your organization's taxonomy using tags as well as other metadata in Azure (Name, Description, and Category).

Ensure that security organizations have access to a continuously updated inventory of assets on Azure. Security teams often need this inventory to evaluate their organization's potential exposure to emerging risks, and as an input for continuous security improvements.

Ensure security organizations are granted Security Reader permissions in your Azure tenant and subscriptions so they can monitor for security risks using Microsoft Defender for Cloud. Security Reader permissions can be applied broadly to an entire tenant (Root Management Group) or scoped to management groups or specific subscriptions.","1.	How are all Azure resources (VMs, storage, databases, networking) inventoried?
2.	Is the inventory enriched with tags/metadata for classification?
3.	How does the security team access this inventory?
4.	Is risk information (e.g., Defender for Cloud security score) linked to asset records?","1.	Azure Resource Graph query export: az graph query -q ""Resources | summarize count() by type""
2.	Microsoft Defender for Cloud > Inventory export (CSV of resources + security status).
3.	Tenant-level RBAC check: az role assignment list -- role ""Security Reader"" showing security team access.
4.	Tag compliance report from Azure Policy (""Resources should be tagged with environment/owner"").
5.	Risk findings mapped to assets (screenshot of Defender for Cloud Security Posture per asset).","Azure Resource Graph query export: az graph query -q ""Resources | summarize count() by type"" | Microsoft Defender for Cloud > Inventory export (CSV of resources + security status) | Tenant-level RBAC check: az role assignment list -- role ""Security Reader"" showing security team access | Tag compliance report from Azure Policy (""Resources should be tagged with environment/owner"") | Risk findings mapped to assets (screenshot of Defender for Cloud Security Posture per asset)",InProgress,,,60,0.85,"Observations: A Configuration Management Database (CMDB) exists but has not been fully vetted or populated.
Tagging Policy is enforced","Excel=CSF-AZ-AM-01 | MCSB=AM-1 | DocID=AM-1 | CIS=1.1, 1.5, 2.1, 2.4 | NIST=CM-8, PM-5","CIS:1.1, 1.5, 2.1, 2.4; NIST:CM-8, PM-5; PCI:2.4; CSA:GRM-01, IPY-02, TVM-01; DocStatus:Partial Compliant",2025-11-11T17:51:32.035526+00:00,AM-1,Partial Compliant,High,"A Configuration Management Database (CMDB) exists but has not been fully vetted or populated.
Tagging Policy is enforced",,1. Meeting notes.,5,,,,CSF-AZ-AM-01,AM-1,"1.1, 1.5, 2.1, 2.4","CM-8, PM-5",2.4,"GRM-01, IPY-02, TVM-01",,,
SEC-ASSET-0002,Asset management,ASSET,Use only approved services,"Ensure that only approved cloud services can be used, by auditing and restricting which services users can provision in the environment.

Use Azure Policy to audit and restrict which services users can provision in your environment. Use Azure Resource Graph to query for and discover resources within their subscriptions. You can also use Azure Monitor to create rules to trigger alerts when a non-approved service is detected.","1.	How are unapproved Azure services restricted?
2.	Which Azure Policies deny or audit new resource types?
3.	How is non-compliance with approved services detected?","1.	Azure Policy definition export: az policy assignment list -- query ""[?policyDefinitionId == '/providers/Microsoft.Authorj
2.	Resource Graph query results showing services in use: az graph query -q ""Resources | summarize count() by type""
3.	Azure Monitor alert rule JSON for detecting non-approved resource types.
4.	Policy compliance report showing blocked/denied deployments (portal screenshot or CSV).","Azure Policy definition export: az policy assignment list -- query ""[?policyDefinitionId == '/providers/Microsoft.Authorj | Resource Graph query results showing services in use: az graph query -q ""Resources | summarize count() by type"" | Azure Monitor alert rule JSON for detecting non-approved resource types | Policy compliance report showing blocked/denied deployments (portal screenshot or CSV)",InProgress,,,60,0.85,,"Excel=CSF-AZ-AM-02 | MCSB=AM-2 | DocID=AM-2 | CIS=2.5, 2.6 , 2.7, 4.8 | NIST=CM-8, PM-5","CIS:2.5, 2.6 , 2.7, 4.8; NIST:CM-8, PM-5; PCI:6.3; CSA:AAc-02, GRM-02, TVM-02; DocStatus:Partial Compliant",2025-11-11T17:51:32.035526+00:00,AM-2,Partial Compliant,High,,,1.,4,,,,CSF-AZ-AM-02,AM-2,"2.5, 2.6 , 2.7, 4.8","CM-8, PM-5",6.3,"AAc-02, GRM-02, TVM-02",,,
SEC-ASSET-0003,Asset management,ASSET,Ensure security of asset lifecycle management,"Ensure security attributes or configurations of the assets are always updated during the asset lifecycle.

Establish or update security policies/process that address asset lifecycle management processes for potentially high impact modifications. These modifications include changes to identity providers and access, data sensitivity level, network configuration, and administrative privilege assignment.

Identify and remove Azure resources when they are no longer needed.","1.	How are decommissioned Azure resources (VMs, storage, databases) securely removed?
2.	Are changes to identity providers, network configuration, or privileged assignments logged
and reviewed?
3.	Is there automation to detect and clean up unused resources?","1.	Activity Log export showing Delete operations for resource groups/VMs: az monitor activity-log list -- resource-group <rg> -- status Succeeded -- query ""[?operz
2.	Azure Policy assignment enforcing ""Resources must have an expiration date tag.""
3.	Microsoft Defender for Cloud recommendations report (unused or orphaned resources flagged).
4.	Example cleanup automation script in Azure Automation or Logic App (JSON runbook or execution logs).
5.	Privileged role audit from Azure AD PIM showing admin assignment lifecycle.","Activity Log export showing Delete operations for resource groups/VMs: az monitor activity-log list -- resource-group <rg> -- status Succeeded -- query ""[?operz | Azure Policy assignment enforcing ""Resources must have an expiration date tag."" | Microsoft Defender for Cloud recommendations report (unused or orphaned resources flagged) | Example cleanup automation script in Azure Automation or Logic App (JSON runbook or execution logs) | Privileged role audit from Azure AD PIM showing admin assignment lifecycle",NotStarted,,,0,0.85,,"Excel=CSF-AZ-AM-03 | MCSB=AM-3 | DocID=AM-3 | CIS=1.1, 2.1 | NIST=CM-8, CM-7","CIS:1.1, 2.1; NIST:CM-8, CM-7; PCI:2.4; CSA:CCC-02, TVM-03; DocStatus:Non-Compliant",2025-11-11T17:51:32.035526+00:00,AM-3,Non-Compliant,High,,,1.,5,,,,CSF-AZ-AM-03,AM-3,"1.1, 2.1","CM-8, CM-7",2.4,"CCC-02, TVM-03",,,
SEC-ASSET-0004,Asset management,ASSET,Limit access to asset management,"Limit users' access to asset management features, to avoid accidental or malicious modification of the assets in your cloud.

Azure Resource Manager is the deployment and management service for Azure. It provides a management layer that enables you to create, update, and delete resources (assets) in Azure. Use Azure AD Conditional Access to limit users' ability to interact with Azure Resource Manager by configuring ""Block access"" for the ""Microsoft Azure Management"" App.

Use Azure Role-based Access Control (Azure RBAC) to assign roles to identities to control their permissions and access to Azure resources. For example, a user with only the 'Reader' Azure RBAC role can view all resources, but is not allowed to make any changes.

Use Resource Locks to prevent either deletions or modifications to resources. Resource Locks may also be administered through Azure Blueprints.","1.	Who is permitted to manage Azure resources (create, modify, delete)?
2.	Are asset management permissions restricted to security/operations teams?
3.	Is least privilege enforced for Resource Graph, Defender for Cloud inventory, and tagging operations?","1.	RBAC export: az role assignment list -- scope /subscriptions/<subID> -- query ""[?roleDefinitionName ==
2.	Check for assignments of security Reader and Resource Policy Contributor roles at tenant/root management group.
3.	Activity Log entries showing asset creation/deletion - filter by privileged roles.
4.	Azure AD PIM report showing eligible vs active assignments for asset management roles.","RBAC export: az role assignment list -- scope /subscriptions/<subID> -- query ""[?roleDefinitionName == | Check for assignments of security Reader and Resource Policy Contributor roles at tenant/root management group | Activity Log entries showing asset creation/deletion - filter by privileged roles | Azure AD PIM report showing eligible vs active assignments for asset management roles",NotStarted,,,0,0.5,,Excel=CSF-AZ-AM-04 | MCSB=AM-4 | CIS=3.3 | NIST=AC-3,"CIS:3.3; NIST:AC-3; PCI:N/A; CSA:TVM-04, AAC-01, GRM-03",2025-11-11T17:51:32.035526+00:00,,,,,,,4,,,,CSF-AZ-AM-04,AM-4,3.3,AC-3,N/A,"TVM-04, AAC-01, GRM-03",,,
SEC-ASSET-0005,Asset management,ASSET,Use only approved applications in virtual machine,"Ensure that only authorized software executes by creating an allow list and block the unauthorized software from executing in your environment.

Use Microsoft Defender for Cloud adaptive application controls to discover and generate an application allow list. You can also use ASC adaptive application controls to ensure that only authorized software can executes, and all unauthorized software is blocked from executing on Azure Virtual Machines.

Use Azure Automation Change Tracking and Inventory to automate the collection of inventory information from your Windows and Linux VMs. Software name, version, publisher, and refresh time information are available from the Azure portal. To get the software installation date and other information, enable guest-level diagnostics and direct the Windows Event Logs to a Log Analytics workspace.

Depending on the type of scripts, you can use operating system-specific configurations or third-party resources to limit users' ability to execute scripts in Azure compute resources.

You can also use a third-party solution to discover and identify unapproved software.","1.	Are application allowlists defined and enforced for Azure VMs?
2.	How are unauthorized binaries or scripts detected/blocked?
3.	Is inventory of installed applications collected and reviewed?
4.	Is script execution (PowerShell, Bash) restricted by policy?","1.	Microsoft Defender for Cloud Adaptive Application Controls policy export (JSON).
2.	Azure Automation Change Tracking and Inventory export (list of installed software on
Windows/Linux VMs).
3.	Log Analytics query results showing blocked execution attempts ( SecurityEvent with
""ApplicationBlocked"").
4.	Policy compliance results: ""Only approved software should run on machines.""
5.	OS-level config (e.g., PowerShell execution policy Get-ExecutionPolicy ) on sample VMs.","Microsoft Defender for Cloud Adaptive Application Controls policy export (JSON) | Azure Automation Change Tracking and Inventory export (list of installed software on | Windows/Linux VMs) | Log Analytics query results showing blocked execution attempts ( SecurityEvent with | ""ApplicationBlocked"") | Policy compliance results: ""Only approved software should run on machines."" | OS-level config (e.g., PowerShell execution policy Get-ExecutionPolicy ) on sample VMs",Complete,,,100,0.85,Observations: VM’s not in use currently,"Excel=CSF-AZ-AM-05 | MCSB=AM-5 | DocID=AM-5 | CIS=2.5, 2.6, 2.7, 4.8 | NIST=CM-8, CM-7, CM-10, CM-11","CIS:2.5, 2.6, 2.7, 4.8; NIST:CM-8, CM-7, CM-10, CM-11; PCI:6.3; CSA:TVM-05, GRM-05; DocStatus:Compliant",2025-11-11T17:51:32.035526+00:00,AM-5,Compliant,High,VM’s not in use currently,,,5,,,,CSF-AZ-AM-05,AM-5,"2.5, 2.6, 2.7, 4.8","CM-8, CM-7, CM-10, CM-11",6.3,"TVM-05, GRM-05",,,
SEC-BAK-0001,Backup and recovery,BAK,Ensure regular automated backups,"Ensure backup of business-critical resources, either during resource creation or enforced through policy for existing resources.

For Azure Backup supported resources (such as Azure VMs, SQL Server, HANA databases, Azure PostgreSQL Database, File Shares, Blobs or Disks), enable Azure Backup and configure the desired frequency and retention period. For Azure VM, you can use Azure Policy to have backup automatically enabled using Azure Policy.

For resources or services not supported by Azure Backup, use the native backup capability provided by the resource or service. For example, Azure Key Vault provides a native backup capability.

For resources/services that are neither supported by Azure Backup nor have a native backup capability, evaluate your backup and disaster needs, and create your own mechanism as per your business requirements. For example:

If you use Azure Storage for data storage, enable blob versioning for your storage blobs which will allow you to preserve, retrieve, and restore every version of every object stored in your Azure Storage.
Service configuration settings can usually be exported to Azure Resource Manager templates.","1. Are Azure Backup policies configured for all supported resources (VMs, SQL, HANA, PostgreSQL, File Shares, Blobs, Disks)?
2. Are Azure Policies applied to auto-enable backup at resource creation (e.g., VMs)?
3. Are unsupported services using their native backup features (e.g., Key Vault, Blob versioning)?","1. Azure Policy assignment export for ""Deploy Backup on VMs"" ( az policy assignment list ).
2. Azure Backup vault policy configuration ( az backup policy list -- vault-name <vault> ).
3. Azure Resource Graph query for resources missing backup association.
4. Backup job logs from Backup Center or Recovery Services Vault.","Azure Policy assignment export for ""Deploy Backup on VMs"" ( az policy assignment list ) | Azure Backup vault policy configuration ( az backup policy list -- vault-name <vault> ) | Azure Resource Graph query for resources missing backup association | Backup job logs from Backup Center or Recovery Services Vault",Complete,,,100,0.85,"Observations: CommVault Backup-as-a-Service (for Storage and Databases) - using CommVault agents in Azure Environment, Following 4-3-2 methodology for Data Backups.","Excel=CSF-AZ-B&R-01 | MCSB=BR-1 | DocID=BR-1 | CIS=11.2 | NIST=CP-2, CP-4, CP-9","CIS:11.2; NIST:CP-2, CP-4, CP-9; PCI:N/A; CSA:BCR-09; DocStatus:Compliant",2025-11-11T17:51:32.035526+00:00,BR-1,Compliant,High,"CommVault Backup-as-a-Service (for Storage and Databases) - using CommVault agents in Azure Environment, Following 4-3-2 methodology for Data Backups.",,,4,,,,CSF-AZ-B&R-01,BR-1,11.2,"CP-2, CP-4, CP-9",N/A,BCR-09,,,
SEC-BAK-0002,Backup and recovery,BAK,Protect backup and recovery data,"Ensure backup data and operations are protected from data exfiltration, data compromise, ransomware/malware and malicious insiders. The security controls that should be applied include user and network access control, data encryption at-rest and in-transit.

Use multi-factor-authentication and Azure RBAC to secure the critical Azure Backup operations (such as delete, change retention, updates to backup config). For Azure Backup supported resources, use Azure RBAC to segregate duties and enable fine grained access, and create private endpoints within your Azure Virtual Network to securely backup and restore data from your Recovery Services vaults.

For Azure Backup supported resources, backup data is automatically encrypted using Azure platform-managed keys with 256-bit AES encryption. You can also choose to encrypt the backups using a customer managed key. In this case, ensure the customer-managed key in the Azure Key Vault is also in the backup scope. If you use a customer-managed key, use soft delete and purge protection in Azure Key Vault to protect keys from accidental or malicious deletion. For on-premises backups using Azure Backup, encryption-at-rest is provided using the passphrase you provide.

Safeguard backup data from accidental or malicious deletion, such as ransomware attacks/attempts to encrypt or tamper backup data. For Azure Backup supported resources, enable soft delete to ensure recovery of items with no data loss for up to 14 days after an unauthorized deletion, and enable multifactor authentication using a PIN generated in the Azure portal. Also enable geo-redundant storage or cross-region restoration to ensure backup data is restorable when there is a disaster in primary region. You can also enable Zone-redundant Storage (ZRS) to ensure backups are restorable during zonal failures.","1. Is backup data encrypted (platform-managed keys or CMK in Key Vault)?
2. Are soft delete and purge protection enabled for Recovery Services Vaults and Key Vault keys?
3. Is RBAC and MFA enforced for critical operations (delete, retention changes)?
4. Are backups geo-redundant or zone-redundant for resiliency?","1. Recovery Services Vault encryption settings ( az backup vault show -- name <vault> ).
2. Key Vault soft delete and purge protection status ( az keyvault show -- query ""properties.enableSoftDelete"" ).
3. Activity Logs for backup operations (delete/change) via Log Analytics.
4. Storage replication setting (GRS/ZRS) in Recovery Vault ( az backup vault backup-
properties show ).","Recovery Services Vault encryption settings ( az backup vault show -- name <vault> ) | Key Vault soft delete and purge protection status ( az keyvault show -- query ""properties.enableSoftDelete"" ) | Activity Logs for backup operations (delete/change) via Log Analytics | Storage replication setting (GRS/ZRS) in Recovery Vault ( az backup vault backup | properties show )",InProgress,,,60,0.85,,"Excel=CSF-AZ-B&R-02 | MCSB=BR-2 | DocID=BR-2 | CIS=11.3 | NIST=CP-6, CP-9","CIS:11.3; NIST:CP-6, CP-9; PCI:3.4; CSA:BCR-10; DocStatus:Partial Compliant",2025-11-11T17:51:32.035526+00:00,BR-2,Partial Compliant,High,,,,4,,,,CSF-AZ-B&R-02,BR-2,11.3,"CP-6, CP-9",3.4,BCR-10,,,
SEC-BAK-0003,Backup and recovery,BAK,Monitor backups,"Ensure all business-critical protectable resources are compliant with the defined backup policy and standard.

Monitor your Azure environment to ensure that all your critical resources are compliant from a backup perspective. Use Azure Policy for backup to audit and enforce such controls. For Azure Backup supported resources, Backup Center helps you centrally govern your backup estate.

Ensure critical backup operations (delete, change retention, updates to backup config) are monitored, audited, and have alerts in place. For Azure Backup supported resources, monitor overall backup health, get alerted to critical backup incidents, and audit triggered user actions on vaults.

Note: Where applicable, also use built-in policies (Azure Policy) to ensure that your Azure resources are configured for backup.","1. Are backup jobs (success/failure) continuously monitored in Backup Center?
2. Are alerts configured for failed/critical backup incidents?
3. Are audit logs captured for sensitive backup operations (deletes, retention changes)?
4. Are compliance checks enforced via Azure Policy for backup-enabled resources?","1. Backup job status logs in Backup Center ( az backup job list -- vault-name <vault> ).
2. Azure Monitor alert rules for backup failures ( az monitor metrics alert list ).
3. Azure Activity Logs for backup vault operations.
4. Defender for Cloud compliance report for ""resources should be backed up"".","Backup job status logs in Backup Center ( az backup job list -- vault-name <vault> ) | Azure Monitor alert rules for backup failures ( az monitor metrics alert list ) | Azure Activity Logs for backup vault operations | Defender for Cloud compliance report for ""resources should be backed up""",InProgress,,,60,0.85,,Excel=CSF-AZ-B&R-03 | MCSB=BR-3 | DocID=BR-3 | CIS=11.3 | NIST=CP-9,CIS:11.3; NIST:CP-9; PCI:N/A; CSA:BCR-11; DocStatus:Partial Compliant,2025-11-11T17:51:32.035526+00:00,BR-3,Partial Compliant,High,,,,4,,,,CSF-AZ-B&R-03,BR-3,11.3,CP-9,N/A,BCR-11,,,
SEC-BAK-0004,Backup and recovery,BAK,Regularly test backup,"Periodically perform data recovery tests of your backup to verify that the backup configurations and availability of the backup data meets the recovery needs as per defined in the RTO (Recovery Time Objective) and RPO (Recovery Point Objective).

Periodically perform data recovery tests of your backup to verify that the backup configurations and availability of the backup data meets the recovery needs as defined in the RTO and RPO.

You may need to define your backup recovery test strategy, including the test scope, frequency and method as performing the full recovery test each time can be difficult.","1. Are recovery tests performed periodically to validate RPO/RTO?
2. Are test restores executed for different resource types (VMs, Key Vault keys, SQL DBs)?
3. Is there a defined strategy for scope, frequency, and method of
4. Are test results documented and tracked for compliance?","1. Restore operation logs from Recovery Services Vault ( az backup recoveryconfig show ).
2. Log Analytics reports of restore operations (successful vs failed).
3. Evidence of restored test VMs, databases, or keys (resource creation events).
4. Test plans and runbooks stored in Automation or tracked in change management system.","Restore operation logs from Recovery Services Vault ( az backup recoveryconfig show ) | Log Analytics reports of restore operations (successful vs failed) | Evidence of restored test VMs, databases, or keys (resource creation events) | Test plans and runbooks stored in Automation or tracked in change management system",InProgress,,,60,0.85,,"Excel=CSF-AZ-B&R-04 | MCSB=BR-4 | DocID=BR-4 | CIS=11.5 | NIST=CP-4, CP-9","CIS:11.5; NIST:CP-4, CP-9; PCI:N/A; CSA:BCR-12; DocStatus:Partial Compliant",2025-11-11T17:51:32.035526+00:00,BR-4,Partial Compliant,High,,,,4,,,,CSF-AZ-B&R-04,BR-4,11.5,"CP-4, CP-9",N/A,BCR-12,,,
SEC-DATA-0001,Data protection,DATA,"Discover, classify, and label sensitive data","Establish and maintain an inventory of the sensitive data, based on the defined sensitive data scope. Use tools to discover, classify and label the in- scope sensitive data.

Use tools such as Microsoft Purview, which combines the former Azure Purview and Microsoft 365 compliance solutions, and Azure SQL Data Discovery and Classification to centrally scan, classify, and label the sensitive data that reside in the Azure, on-premises, Microsoft 365, and other locations.","1. How is sensitive data discovered across structured (SQL, Cosmos DB) and unstructured (Storage, SharePoint, Exchange) repositories?
2. What tools (Microsoft Purview, AIP) are in use for automated scanning and classification?
3. Are classification labels enforced and synchronized across hybrid/M365 workloads?
4. How is coverage validated for new data sources (e.g., onboarding of new Azure SQL
servers)?","1. Microsoft Purview scan/job logs with discovered data assets.
2. Export of SQL sys. sensitivity_classifications.
3. Sensitivity labels configuration in AIP/Purview.
4. Sample classified records/screenshots of label enforcement in Office/SharePoint.",Microsoft Purview scan/job logs with discovered data assets | Export of SQL sys. sensitivity_classifications | Sensitivity labels configuration in AIP/Purview | Sample classified records/screenshots of label enforcement in Office/SharePoint,NotStarted,,,0,0.85,"Gaps: There is no formal enterprise data management process, and data is not consistently tagged with classification levels. Organizational data retention policies are under development.

Azure Purview is planned for meeting this control","Excel=CSF-AZ-DP-01 | MCSB=DP-1 | DocID=DP-1 | CIS=3.2, 3.7, 3.13 | NIST=RA-2, SC-28","CIS:3.2, 3.7, 3.13; NIST:RA-2, SC-28; PCI:A3.2; CSA:DSP-01, DSP-02, DSP-03; DocStatus:Non-Compliant",2025-11-11T17:51:32.035526+00:00,DP-1,Non-Compliant,High,,"There is no formal enterprise data management process, and data is not consistently tagged with classification levels. Organizational data retention policies are under development.

Azure Purview is planned for meeting this control",1. Meeting notes.,4,,,,CSF-AZ-DP-01,DP-1,"3.2, 3.7, 3.13","RA-2, SC-28",A3.2,"DSP-01, DSP-02, DSP-03",,,
