ControlID,Domain,DomainCode,ControlTitle,ControlDescription,Question,RequiredEvidence,EvidenceItems,Status,Owner,Frequency,ScoreNumeric,Weight,Notes,SourceRef,Tags,UpdatedAt,DocControlId,ComplianceStatus,Criticality,Observations,Gaps,References,EvidenceCount,AvailableEvidenceCount,EvidenceArtifacts,EvidenceLastCollected,ExcelControlId,MCSBMapping,CISMapping,NISTMapping,PCIDSSMapping,CSACCMMapping,IANSMapping,RiskSeverity,ImplementationGap
SEC-GOV-0001,Governance and strategy,GOV,"Align organization roles, responsibilities and accountabilities","Ensure that you define and communicate a clear strategy for roles and responsibilities in your security organization. Prioritize providing clear accountability for security decisions, educate everyone on the shared responsibility model, and educate technical teams on technology to secure the cloud.

-","1. Have cloud security roles and responsibilities been formally documented and approved?
2. Are responsibilities aligned to Azure RBAC roles at tenant, subscription, and resource
levels?
3. Is accountability reviewed periodically (e.g., during access reviews)?","1. Azure AD role assignments export ( az role assignment list ).
2. Security org chart with role-to-Azure-role mapping.
3. Access review reports from Azure AD Identity Governance.",Azure AD role assignments export ( az role assignment list ) | Security org chart with role-to-Azure-role mapping | Access review reports from Azure AD Identity Governance,Complete,,,100,0.85,"Observations: Relevant Security roles , responsibilities , third-party security teams , change management controls exists","Excel=CSF-AZ-GS-01 | MCSB=GS-1 | DocID=GS-1 | CIS=14.9 | NIST=PL-9, PM-10, PM-13, AT-1, AT-3","CIS:14.9; NIST:PL-9, PM-10, PM-13, AT-1, AT-3; PCI:2.4; CSA:GRC-01; DocStatus:Compliant",2025-11-11T17:51:32.035526+00:00,GS-1,Compliant,High,"Relevant Security roles , responsibilities , third-party security teams , change management controls exists",,https://Internal Knowledge Base/wiki/Tech:Cyber_Security#Roles.2C_Responsibilities.2C_and_Authorities_.28GV.RR.29,3,,,,CSF-AZ-GS-01,GS-1,14.9,"PL-9, PM-10, PM-13, AT-1, AT-3",2.4,GRC-01,,,
SEC-GOV-0002,Governance and strategy,GOV,Define and implement enterprise segmentation/separation of duties strategy,"Establish an enterprise-wide strategy to segment access to assets using a combination of identity, network, application, subscription, management group, and other controls.

Carefully balance the need for security separation with the need to enable daily operation of the systems that need to communicate with each other and access data.

Ensure that the segmentation strategy is implemented consistently in the workload, including network security, identity and access models, and application permission/access models, and human process controls.","1. Is separation of duties enforced across management groups, subscriptions, and RBAC roles?
2. Are privileged functions (e.g., key management, identity admin) split across different
3. Is network/service segmentation aligned with enterprise security strategy?","1. RBAC role assignment exports ( az role assignment list -- all ).
2. Azure Policy enforcing subscription/management group segmentation.
3. Network topology/segmentation diagrams from Azure Resource Graph queries.",RBAC role assignment exports ( az role assignment list -- all ) | Azure Policy enforcing subscription/management group segmentation | Network topology/segmentation diagrams from Azure Resource Graph queries,InProgress,,,60,0.85,"Observations: Governance policy PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties

Separation of Duties (SoD): SoD is considered and implemented through the RBAC model, but there is no formal SoD program in place to actively monitor for toxic combinations.

RBAC alone lacks formal toxic combination controls, missing structured SoD enforcement and defined role conflict resolution mechanisms. Toxic combinations expose critical systems to misuse, bypass controls, and violate least privilege, increasing risk of fraud or breaches.","Excel=CSF-AZ-GS-02 | MCSB=GS-2 | DocID=GS-2 | CIS=3.12 | NIST=AC-4, SC-7, SC-2","CIS:3.12; NIST:AC-4, SC-7, SC-2; PCI:1.2, 6.4; CSA:IAM-10; DocStatus:Partial Compliant",2025-11-11T17:51:32.035526+00:00,GS-2,Partial Compliant,High,"Governance policy PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties

Separation of Duties (SoD): SoD is considered and implemented through the RBAC model, but there is no formal SoD program in place to actively monitor for toxic combinations.

RBAC alone lacks formal toxic combination controls, missing structured SoD enforcement and defined role conflict resolution mechanisms. Toxic combinations expose critical systems to misuse, bypass controls, and violate least privilege, increasing risk of fraud or breaches.",,Meeting Notes,3,,,,CSF-AZ-GS-02,GS-2,3.12,"AC-4, SC-7, SC-2","1.2, 6.4",IAM-10,,,
SEC-GOV-0003,Governance and strategy,GOV,Define and implement data protection strategy,"Establish an enterprise-wide strategy for data protection in your cloud environment:

Define and apply the data classification and protection standard in accordance with the enterprise data management standard and regulatory compliance to dictate the security controls required for each level of the data classification.
Set up your cloud resource management hierarchy aligned to the enterprise segmentation strategy. The enterprise segmentation strategy should also be informed by the location of sensitive or business critical data and systems.
Define and apply the applicable zero-trust principles in your cloud environment to avoid implementing trust based on network location within a perimeter. Instead, use device and user trust claims to gate access to data and resources.
Track and minimize the sensitive data footprint (storage, transmission, and processing) across the enterprise to reduce the attack surface and data protection cost. Consider techniques such as one-way hashing, truncation, and tokenization in the workload where possible, to avoid storing and transmitting sensitive data in its original form.
Ensure you have a full lifecycle control strategy to provide security assurance of the data and access keys.","1. Are all data services (storage, DBs, disks) encrypted at rest (PMK/CMK)?
2. Is encryption in transit (TLS 1.2+) enforced for data flows?
3. Are sensitive data types classified and labeled?","1. Azure Policy compliance export for encryption-at-rest ( az security assessment list ).
2. Storage/DB encryption config ( az storage account show -- query encryption, az sql db show -- query encryptionProtector ).
3. Microsoft Purview classification/labelling report export.","Azure Policy compliance export for encryption-at-rest ( az security assessment list ) | Storage/DB encryption config ( az storage account show -- query encryption, az sql db show -- query encryptionProtector ) | Microsoft Purview classification/labelling report export",NotStarted,,,0,0.85,Observations: Formalization of Enterprise data governance strategy and implementation is not complete and planned with Purview(early stages),"Excel=CSF-AZ-GS-03 | MCSB=GS-3 | DocID=GS-3 | CIS=3.1, 3.7, 3.12 | NIST=AC-4, SI-4, SC-8, SC-12, SC-17, SC-28, RA-2","CIS:3.1, 3.7, 3.12; NIST:AC-4, SI-4, SC-8, SC-12, SC-17, SC-28, RA-2; PCI:3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 4.1, A3.2; CSA:DSP-01; DocStatus:Partial-Compliant",2025-11-11T17:51:32.035526+00:00,GS-3,Partial-Compliant,High,Formalization of Enterprise data governance strategy and implementation is not complete and planned with Purview(early stages),,,3,,,,CSF-AZ-GS-03,GS-3,"3.1, 3.7, 3.12","AC-4, SI-4, SC-8, SC-12, SC-17, SC-28, RA-2","3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 4.1, A3.2",DSP-01,,,
SEC-GOV-0004,Governance and strategy,GOV,Define and implement network security strategy,"Establish a cloud network security strategy as part of your organization’s overall security strategy for access control. This strategy should include documented guidance, policy, and standards for the following elements:

Design a centralized/decentralized network management and security responsibility model to deploy and maintain network resources.
A virtual network segmentation model aligned with the enterprise segmentation strategy.
An Internet edge and ingress and egress strategy.
A hybrid cloud and on-premises interconnectivity strategy.
A network monitoring and logging strategy.
Up-to-date network security artifacts (such as network diagrams, reference network architecture).","1. Is segmentation and perimeter control enforced with NSGs, Firewalls, and Private Link?
2. Is DDoS Protection enabled for critical public endpoints?
3. Are flow logs from NSGs and Firewalls ingested into Log Analytics or Sentinel?","1. NSG/Firewall rules export ( az network nsg rule list, az network firewall network-rule
list ).
2. DDoS Protection Plan config ( az network ddos-protection show ).
3. Network Watcher Flow Log status ( az network watcher flow-log show ).","NSG/Firewall rules export ( az network nsg rule list, az network firewall network-rule | list ) | DDoS Protection Plan config ( az network ddos-protection show ) | Network Watcher Flow Log status ( az network watcher flow-log show )",Complete,,,100,0.85,"Observations: Using UDRs, NSGs, ASGs, Palo Alto Network Firewall, SIEM (google SecOps), child Hubs, Parent Hubs, VNET level isolation for each App, azure Network watcher and Palo Alto NGFW.","Excel=CSF-AZ-GS-04 | MCSB=GS-4 | DocID=GS-4 | CIS=12.2, 12.4 | NIST=AC-4, AC-17, CA-3, CM-1, CM-2, CM-6, CM-7, SC-1, SC-2, SC-5, SC-7, SC-20, SC-21, SI-4","CIS:12.2, 12.4; NIST:AC-4, AC-17, CA-3, CM-1, CM-2, CM-6, CM-7, SC-1, SC-2, SC-5, SC-7, SC-20, SC-21, SI-4; PCI:1.1, 1.2, 1.3, 1.5, 4.1, 6.6, 11.4, A2.1, A2.2, A2.3, A3.2; CSA:IVS-06; DocStatus:Compliant",2025-11-11T17:51:32.035526+00:00,GS-4,Compliant,High,"Using UDRs, NSGs, ASGs, Palo Alto Network Firewall, SIEM (google SecOps), child Hubs, Parent Hubs, VNET level isolation for each App, azure Network watcher and Palo Alto NGFW.",,,3,,,,CSF-AZ-GS-04,GS-4,"12.2, 12.4","AC-4, AC-17, CA-3, CM-1, CM-2, CM-6, CM-7, SC-1, SC-2, SC-5, SC-7, SC-20, SC-21, SI-4","1.1, 1.2, 1.3, 1.5, 4.1, 6.6, 11.4, A2.1, A2.2, A2.3, A3.2",IVS-06,,,
SEC-GOV-0005,Governance and strategy,GOV,Define and implement security posture management strategy,"Establish a policy, procedure and standard to ensure the security configuration management and vulnerability management are in place in your cloud security mandate.

The security configuration management in cloud should include the following areas:

Define the secure configuration baselines for different resource types in the cloud, such as the web portal/console, management and control plane, and resources running in the IaaS, PaaS and SaaS services.
Ensure the security baselines address the risks in different control areas such as network security, identity management, privileged access, data protection and so on.
Use tools to continuously measure, audit, and enforce the configuration to prevent configuration deviating from the baseline.
Develop a cadence to stay updated with security features, for instance, subscribe to the service updates.
Utilize a security health or compliance check mechanism (such as Secure Score, Compliance Dashboard in Microsoft Defender for Cloud) to regularly review security configuration posture and remediate the gaps identified.
The vulnerability management in the cloud should include the following security aspects:

Regularly assess and remediate vulnerabilities in all cloud resource types, such as cloud native services, operating systems, and application components.
Use a risk-based approach to prioritize assessment and remediation.
Subscribe to the relevant CSPM's security advisory notices and blogs to receive the latest security updates.
Ensure the vulnerability assessment and remediation (such as schedule, scope, and techniques) meet the compliance requirements for your organization.dule, scope, and techniques) meet the regularly compliance requirements for your organization.","1. Is Defender for Cloud enabled at subscription/tenant level?
2. Is Secure Score monitored with remediation actions tracked?","1. Secure Score export ( az security secure-score-control list ).
2. Regulatory compliance report ( az security regulatory-compliance-standards show).",Secure Score export ( az security secure-score-control list ) | Regulatory compliance report ( az security regulatory-compliance-standards show),Complete,,,100,0.85,Observations: Combination WIZ and Microsoft defender for cloud is in use,"Excel=CSF-AZ-GS-05 | MCSB=GS-5 | DocID=GS-5 | CIS=4.1, 4.2 | NIST=CA-1, CA-8, CM-1, CM-2, CM-6, RA-1, RA-3, RA-5, SI-1, SI-2, SI-5","CIS:4.1, 4.2; NIST:CA-1, CA-8, CM-1, CM-2, CM-6, RA-1, RA-3, RA-5, SI-1, SI-2, SI-5; PCI:1.1, 1.2, 2.2, 6.1, 6.2, 6.5, 6.6, 11.2, 11.3, 11.5; CSA:TVM-03; DocStatus:Compliant",2025-11-11T17:51:32.035526+00:00,GS-5,Compliant,High,Combination WIZ and Microsoft defender for cloud is in use,,,2,,,,CSF-AZ-GS-05,GS-5,"4.1, 4.2","CA-1, CA-8, CM-1, CM-2, CM-6, RA-1, RA-3, RA-5, SI-1, SI-2, SI-5","1.1, 1.2, 2.2, 6.1, 6.2, 6.5, 6.6, 11.2, 11.3, 11.5",TVM-03,,,
SEC-GOV-0006,Governance and strategy,GOV,Define and implement identity and privileged access strategy,"Establish a cloud identity and privileged access approach as part of your organization’s overall security access control strategy. This strategy should include documented guidance, policy, and standards for the following aspects:

Centralized identity and authentication system (such as Azure AD) and its interconnectivity with other internal and external identity systems
Privileged identity and access governance (such as access request, review and approval)
Privileged accounts in emergency (break-glass) situation
Strong authentication (passwordless authentication and multifactor authentication) methods in different use cases and conditions.
Secure access by administrative operations through web portal/console, command-line and API.
For exception cases, where an enterprise system isn’t used, ensure adequate security controls are in place for identity, authentication and access management, and governed. These exceptions should be approved and periodically reviewed by the enterprise team. These exceptions are typically in cases such as:

Use of a non-enterprise designated identity and authentication system, such as cloud-based third-party systems (may introduce unknown risks)
Privileged users authenticated locally and/or use non-strong authentication methods","1. Is Azure AD the central identity provider for all resources?
2. Is Privileged Identity Management (PIM) enabled for JIT elevation?
3. Is MFA enforced for privileged roles?","1. Directory role assignment export ( az role assignment list -- all ).
2. PIM activation logs ( Get-AzureADMSPrivilegedRoleAssignment ).
3. Conditional Access policy export ( az ad conditionalaccess policy list ).",Directory role assignment export ( az role assignment list -- all ) | PIM activation logs ( Get-AzureADMSPrivilegedRoleAssignment ) | Conditional Access policy export ( az ad conditionalaccess policy list ),Complete,,,100,0.85,"Observations: CyberArk and Entra ID is configured.
 
IAM policies are defined as given reference.","Excel=CSF-AZ-GS-06 | MCSB=GS-6 | DocID=GS-6 | CIS=5.6, 6.5, 6.7 | NIST=AC-1, AC-2, AC-3, AC-4, AC-5, AC-6, IA-1, IA-2, IA-4, IA-5, IA-8, IA-9, SI-4","CIS:5.6, 6.5, 6.7; NIST:AC-1, AC-2, AC-3, AC-4, AC-5, AC-6, IA-1, IA-2, IA-4, IA-5, IA-8, IA-9, SI-4; PCI:7.1, 7.2, 7.3, 8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, A3.4; CSA:IAM-01; DocStatus:Compliant",2025-11-11T17:51:32.035526+00:00,GS-6,Compliant,High,"CyberArk and Entra ID is configured.
 
IAM policies are defined as given reference.",,Meeting Notes and Internal Knowledge Base,3,,,,CSF-AZ-GS-06,GS-6,"5.6, 6.5, 6.7","AC-1, AC-2, AC-3, AC-4, AC-5, AC-6, IA-1, IA-2, IA-4, IA-5, IA-8, IA-9, SI-4","7.1, 7.2, 7.3, 8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, A3.4",IAM-01,,,
SEC-GOV-0007,Governance and strategy,GOV,"Define and implement logging, threat detection and incident response strategy","Establish a logging, threat detection and incident response strategy to rapidly detect and remediate threats and meet compliance requirements. Security operations (SecOps / SOC) team should prioritize high quality alerts and seamless experiences so that they can focus on threats rather than log integration and manual steps. This strategy should include documented policy, procedure and standards for the following aspects:

The security operations (SecOps) organization's role and responsibilities
A well-defined and regularly tested incident response plan and handling process aligning with NIST SP 800-61 (Computer Security Incident Handling Guide) or other industry frameworks.
Communication and notification plan with your customers, suppliers, and public parties of interest.
Simulate both expected and unexpected security events within your cloud environment to understand the effectiveness of your preparation. Iterate on the outcome of your simulation to improve the scale of your response posture, reduce time to value, and further reduce risk.
Preference of using extended detection and response (XDR) capabilities, such as Azure Defender capabilities, to detect threats in various areas.
Use of cloud native capability (e.g., as Microsoft Defender for Cloud) and third-party platforms for incident handling, such as logging and threat detection, forensics, and attack remediation and eradication.
Prepare the necessary runbooks, both manual and automated, to ensure reliable and consistent responses.
Define key scenarios (such as threat detection, incident response, and compliance) and set up log capture and retention to meet the scenario requirements.
Centralized visibility of and correlation information about threats, using SIEM, native cloud threat detection capability, and other sources.
Post-incident activities, such as lessons learned and evidence retention.","1. Are diagnostic logs for critical resources exported to Log Analytics or Sentinel?
2. Are Defender for Cloud alerts integrated with Sentinel for IR workflows?","1. Diagnostic settings config ( az monitor diagnostic-settings list ).
2. Sentinel connector configuration logs.
3. Defender for Cloud security alert export ( az security alert list ).",Diagnostic settings config ( az monitor diagnostic-settings list ) | Sentinel connector configuration logs | Defender for Cloud security alert export ( az security alert list ),Complete,,,100,0.85,"Observations: Established with Third-party service (Incident Response Partner), Google SecOps, Cribble","Excel=CSF-AZ-GS-07 | MCSB=GS-7 | DocID=GS-7 | CIS=8.1, 13.1, 17.2, 17.4,17.7 | NIST=AU-1, IR-1, IR-2, IR-10, SI-1, SI-5","CIS:8.1, 13.1, 17.2, 17.4,17.7; NIST:AU-1, IR-1, IR-2, IR-10, SI-1, SI-5; PCI:10.1, 10.2, 10.3, 10.4, 10.5, 10.6, 10.7, 10.8, 10.9, 12.10, A3.5; CSA:LOG-01; DocStatus:Compliant",2025-11-11T17:51:32.035526+00:00,GS-7,Compliant,High,"Established with Third-party service (Incident Response Partner), Google SecOps, Cribble",,,3,,,,CSF-AZ-GS-07,GS-7,"8.1, 13.1, 17.2, 17.4,17.7","AU-1, IR-1, IR-2, IR-10, SI-1, SI-5","10.1, 10.2, 10.3, 10.4, 10.5, 10.6, 10.7, 10.8, 10.9, 12.10, A3.5",LOG-01,,,
SEC-GOV-0008,Governance and strategy,GOV,Define and implement backup and recovery strategy,"Establish a backup and recovery strategy for your organization. This strategy should include documented guidance, policy, and standards in the following aspects:

Recovery time objective (RTO) and recovery point objective (RPO) definitions in accordance with your business resiliency objectives, and regulatory compliance requirements.
Redundancy design (including backup, restore and replication) in your applications and infrastructure for both in cloud and on-premises. Consider regional, region-pairs, cross-regional recovery and off-site storage location as part of your strategy.
Protection of backup from unauthorized access and tempering using controls such as data access control, encryption and network security.
Use of backup and recovery to mitigate the risks from emerging threats, such as ransomware attacks. And also secure the backup and recovery data itself from these attacks.
Monitoring the backup and recovery data and operations for audit and alerting purposes.","1. Are Azure Backup policies applied to all supported workloads?
2. Are restore tests performed periodically to validate RPO/RTO?","1. Recovery Services Vault backup policy config ( az backup policy list ).
2· Restore job logs ( az backup job list -- vault-name <vault> ).",Recovery Services Vault backup policy config ( az backup policy list ) | · Restore job logs ( az backup job list -- vault-name <vault> ),Complete,,,100,0.85,"Observations: Using Commvault Backup-as-a-Service (for Storage and Databases) - using CommVault agents in Azure Environment.
 

RTO & RPO, details are as given in reference.","Excel=CSF-AZ-GS-08 | MCSB=GS-8 | DocID=GS-8 | CIS=11.1 | NIST=CP-1, CP-9, CP-10","CIS:11.1; NIST:CP-1, CP-9, CP-10; PCI:3.4; CSA:BCR-09; DocStatus:Compliant",2025-11-11T17:51:32.035526+00:00,GS-8,Compliant,High,"Using Commvault Backup-as-a-Service (for Storage and Databases) - using CommVault agents in Azure Environment.
 

RTO & RPO, details are as given in reference.",,https://Internal Knowledge Base/wiki/Tech:BCDR_Tiering,2,,,,CSF-AZ-GS-08,GS-8,11.1,"CP-1, CP-9, CP-10",3.4,BCR-09,,,
SEC-GOV-0009,Governance and strategy,GOV,Define and implement endpoint security strategy,"Establish a cloud endpoint security strategy which includes the following aspects:- Deploy the endpoint detection and response and anti-malware capability into your endpoint and integrate with the threat detection and SIEM solution and the security operations process.

Follow the Microsoft Cloud Security Benchmark to ensure endpoint related security settings in other respective areas (such as network security, posture vulnerability management, identity and privileged access, and logging and threat detections) are also in place to provide a defense-in-depth protection for your endpoint.
Prioritize the endpoint security in your production environment but ensure that non-production environments (such as test and build environment used in the DevOps process) are also secured and monitored, as these environments can also be used to introduce malware and vulnerabilities into the production environment.","1. Are all Azure VMs onboarded to Defender for Servers (Defender for Endpoint)?
2. Is endpoint protection (anti-malware) healthy and signatures up to date?","1. Defender for Cloud endpoint protection compliance ( az security assessment list -- query ""[?contains(name, 'antimalware' )]"" ).
2. Device signature status ( Get-MpSignature for Windows, mdatp health for Linux).","Defender for Cloud endpoint protection compliance ( az security assessment list -- query ""[?contains(name, 'antimalware' )]"" ) | Device signature status ( Get-MpSignature for Windows, mdatp health for Linux)",Complete,,,100,0.85,"Observations: Currently there are no Azure VMs, assuming CrowdStrike will be implemented for EDR for Azure VMs if needed","Excel=CSF-AZ-GS-09 | MCSB=GS-9 | DocID=GS-9 | CIS=4.4, 10.1 | NIST=SI-2, SI-3, SC-3","CIS:4.4, 10.1; NIST:SI-2, SI-3, SC-3; PCI:5.1, 5.2, 5.3, 5.4, 11.5; CSA:UEM-01; DocStatus:Compliant",2025-11-11T17:51:32.035526+00:00,GS-9,Compliant,High,"Currently there are no Azure VMs, assuming CrowdStrike will be implemented for EDR for Azure VMs if needed",,Meeting notes,2,,,,CSF-AZ-GS-09,GS-9,"4.4, 10.1","SI-2, SI-3, SC-3","5.1, 5.2, 5.3, 5.4, 11.5",UEM-01,,,
SEC-GOV-0010,Governance and strategy,GOV,Define and implement DevOps security strategy,"Mandate the security controls as part of the organization’s DevOps engineering and operation standard. Define the security objectives, control requirements, and tooling specifications in accordance with enterprise and cloud security standards in your organization.

Encourage the use of DevOps as an essential operating model in your organization for its benefits in rapidly identifying and remediating vulnerabilities using different type of automations (such as infrastructure as code provision, and automated SAST and DAST scan) throughout the CI/CD workflow. This ‘shift left’ approach also increases visibility and ability to enforce consistent security checks in your deployment pipeline, effectively deploying security guardrails into the environment ahead of time to avoid last minute security surprises when deploying a workload into production.

When shifting security controls left into the pre-deployment phases, implement security guardrails to ensure the controls are deployed and enforced throughout your DevOps process. This technology could include resource deployment templates (such as Azure ARM template) to define guardrails in the IaC (infrastructure as code), resource provisioning and audit to restrict which services or configurations can be provisioned into the environment.

For the run-time security controls of your workload, follow the Microsoft Cloud Security Benchmark to design and implement effective the controls, such as identity and privileged access, network security, endpoint security, and data protection inside your workload applications and services.","1. Are CI/CD pipelines (Azure DevOps, GitHub) integrated with SAST/DAST scans to block insecure code?
2. Are secrets, credentials, and tokens stored in Azure Key Vault instead of source code/repos?
3. Are DevOps audit logs (pipeline events, org changes) exported to Sentinel or Log Analytics for monitoring?","1. Pipeline definitions showing CodeQL/SAST/DAST steps ( azure-pipelines.yml, GitHub Actions YAML).
2. Azure Key Vault secret inventory ( az keyvault secret list ).
3. Azure DevOps/GitHub audit log export ( az devops audit-log list , GitHub audit log API).
4. Sentinel rules/alerts monitoring DevOps activity.","Pipeline definitions showing CodeQL/SAST/DAST steps ( azure-pipelines.yml, GitHub Actions YAML) | Azure Key Vault secret inventory ( az keyvault secret list ) | Azure DevOps/GitHub audit log export ( az devops audit-log list , GitHub audit log API) | Sentinel rules/alerts monitoring DevOps activity",Complete,,,100,0.85,"Observations: Using Azure DevOps - with SAST, DAST (Veracode)","Excel=CSF-AZ-GS-10 | MCSB=GS-10 | DocID=GS-10 | CIS=4.1, 4.2, 16.1, 16.2 | NIST=SA-12, SA-15, CM-1, CM-2, CM-6, AC-2, AC-3, AC-6, SA-11, AU-6, AU-12, SI-4","CIS:4.1, 4.2, 16.1, 16.2; NIST:SA-12, SA-15, CM-1, CM-2, CM-6, AC-2, AC-3, AC-6, SA-11, AU-6, AU-12, SI-4; PCI:2.2, 6.1, 6.2, 6.3, 6.5, 7.1, 10.1, 10.2, 10.3, 10.6, 12.2; CSA:AIS-03; DocStatus:Compliant",2025-11-11T17:51:32.035526+00:00,GS-10,Compliant,High,"Using Azure DevOps - with SAST, DAST (Veracode)",,Meeting Notes,4,,,,CSF-AZ-GS-10,GS-10,"4.1, 4.2, 16.1, 16.2","SA-12, SA-15, CM-1, CM-2, CM-6, AC-2, AC-3, AC-6, SA-11, AU-6, AU-12, SI-4","2.2, 6.1, 6.2, 6.3, 6.5, 7.1, 10.1, 10.2, 10.3, 10.6, 12.2",AIS-03,,,
